date,cpi_food,cpi_apparel,consumer_sentiment,wmt_adj_close,wmt_volume,dg_adj_close,dg_volume,cpi_food_mom_pct,cpi_apparel_mom_pct,cpi_food_yoy_pct,cpi_apparel_yoy_pct,wmt_mom_pct,dg_mom_pct
2022-01-01,289.772,124.079,67.2,44.0616,164148268,193.2932,46948549,,,,,,
2022-02-01,292.794,127.868,62.8,42.5962,162575143,183.8919,38715715,1.0428888919564283,3.0536996590881715,,,-3.325798427655813,-4.863751026937324
2022-03-01,295.728,128.919,59.4,47.1139,185368469,206.4125,48473831,1.00206971454333,0.821941377045099,,,10.605875641489138,12.246651429453937
2022-04-01,298.711,127.126,65.2,48.4016,142211450,220.7624,37912350,1.0086971811935408,-1.3907957709879848,,,2.733163673565553,6.952049900078738
2022-05-01,302.038,126.97,58.4,40.844,272075714,204.7859,55729334,1.1137855653122974,-0.12271289901357729,,,-15.61435985587254,-7.236966077556694
2022-06-01,305.041,126.619,50.0,38.6054,170929925,228.114,38180591,0.9942457571563867,-0.2764432543120421,,,-5.480853981000877,11.391458103316676
2022-07-01,308.532,125.188,51.5,41.9299,157646467,231.4084,31441091,1.14443632167478,-1.1301621399631978,,,8.611489584358667,1.4441901856089512
2022-08-01,310.875,127.328,58.2,42.2703,208094056,221.1528,36177402,0.759402590330982,1.7094290187557926,,,0.8118311753664953,-4.431818378243824
2022-09-01,313.142,130.143,58.6,41.3614,138652720,223.4256,36647862,0.7292320064334445,2.210825584317666,,,-2.15020948514677,1.0277057310601467
2022-10-01,315.323,129.414,59.9,45.3891,116898368,238.105,34927869,0.6964891327257305,-0.5601530624006035,,,9.73782318780312,6.5701513165904
2022-11-01,315.857,126.728,56.7,48.6068,151667100,238.6931,33320555,0.16935015840902068,-2.0755096048340915,,,7.089146953784065,0.24699187333319106
2022-12-01,316.839,124.587,59.8,45.3871,127378355,230.4031,50167461,0.3109001858435878,-1.6894451107884567,,,-6.623970308681093,-3.47307902909636
2023-01-01,319.136,127.875,64.9,46.0529,108018377,218.5672,43055193,0.7249738826344165,2.6391196513279924,10.133484256587955,3.0593412261542996,1.466936640587324,-5.137040256836811
2023-02-01,320.569,132.039,66.9,45.4959,122852846,202.3805,35124592,0.44902486714129,3.256304985337244,9.486191656932874,3.261957643820179,-1.2094786647529276,-7.405823014615187
2023-03-01,320.863,133.112,62.0,47.3934,174886446,196.9163,49424483,0.09171192473382828,0.8126386900839888,8.499364280690358,3.252429820274738,4.170705492143245,-2.6999636822717665
